dt_leitura;coordenadaId;termopar_1;termopar_2;termopar_3;termopar_amb
2021-09-13 00:00:01.75;1;97.70;84.10;99.30;26.00
2021-09-13 00:00:01.76;1;99.50;85.50;101.70;26.00
2021-09-13 00:00:01.77;1;102.00;87.20;102.90;26.00
2021-09-13 00:00:01.78;1;103.30;88.30;104.50;26.10
2021-09-13 00:00:01.79;1;104.80;89.30;105.50;26.00
2021-09-13 00:00:01.80;1;106.20;90.40;106.20;26.00
2021-09-13 00:00:01.81;1;107.00;91.00;107.10;26.00
2021-09-13 00:00:01.82;1;108.00;91.70;107.80;26.00
2021-09-13 00:00:01.83;1;108.70;92.20;108.20;26.00
2021-09-13 00:00:01.84;1;109.30;92.50;109.00;26.10
2021-09-13 00:00:01.85;1;109.80;93.00;109.40;26.10
2021-09-13 00:00:01.86;1;110.10;93.30;109.80;26.10
2021-09-13 00:00:01.87;1;110.50;93.40;110.00;26.10
2021-09-13 00:00:01.88;1;110.80;93.60;110.20;26.10
2021-09-13 00:00:01.89;1;111.20;93.70;110.60;26.10
2021-09-13 00:00:01.90;1;111.50;93.70;110.50;26.00
2021-09-13 00:00:01.91;1;111.60;94.00;110.60;26.00
2021-09-13 00:00:01.92;1;111.80;93.90;110.60;26.00
2021-09-13 00:00:01.93;1;111.80;94.20;110.90;26.00
2021-09-13 00:00:01.94;1;111.80;94.10;110.80;26.00
2021-09-13 00:00:01.95;1;111.90;94.00;110.70;26.00
2021-09-13 00:00:01.96;1;112.00;94.10;110.70;26.00
2021-09-13 00:00:01.97;1;112.00;94.00;110.90;26.00
2021-09-13 00:00:01.98;1;112.10;94.00;110.80;26.00
2021-09-13 00:00:01.99;1;112.10;94.00;111.20;26.00
2021-09-13 00:00:02.00;1;112.30;94.10;111.00;26.00
2021-09-13 00:00:02.01;1;112.40;94.10;111.00;26.00
2021-09-13 00:00:02.02;1;112.50;94.20;111.30;26.00
2021-09-13 00:00:02.03;1;112.60;94.30;111.30;25.90
2021-09-13 00:00:02.04;1;112.80;94.30;111.20;25.90
2021-09-13 00:00:02.05;1;112.80;94.40;111.60;26.00
2021-09-13 00:00:02.06;1;112.70;94.40;111.50;25.90
2021-09-13 00:00:02.07;1;112.80;94.40;111.50;25.90
2021-09-13 00:00:02.08;1;112.80;94.50;111.60;25.90
2021-09-13 00:00:02.09;1;112.90;94.30;111.60;25.90
2021-09-13 00:00:02.10;1;112.90;94.30;111.50;25.80
2021-09-13 00:00:02.11;1;112.80;94.30;111.40;25.80
2021-09-13 00:00:02.12;1;112.80;94.30;111.50;25.80
2021-09-13 00:00:02.13;1;112.80;94.40;112.00;25.80
2021-09-13 00:00:02.14;1;113.00;94.40;111.70;25.90
2021-09-13 00:00:02.15;1;113.00;94.30;111.50;25.90
2021-09-13 00:00:02.16;1;113.00;94.30;111.30;25.90
2021-09-13 00:00:02.17;1;113.00;94.40;111.40;25.90
